logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-0.339867719926514	0.0827813811267388	6.00043011697071	-4.10560581740203	0.0063164852523035	0.108418116799283	tr|A0Q7F6|A0Q7F6_FRATN	rlm	naive	0.108418116799283
-0.554583585625575	0.132966294067294	5.73598793293456	-4.17085840825871	0.00648059738599028	0.108418116799283	sp|A0Q7F1|GRPE_FRATN	rlm	naive	0.108418116799283
-0.393193083503586	0.0967308457405903	6.00043011697071	-4.06481593842401	0.00661342380849444	0.108418116799283	sp|A0Q869|RL10_FRATN	rlm	naive	0.108418116799283
0.444767686241845	0.109998754063671	6.00043011697071	4.04338840042133	0.00677564516432715	0.108418116799283	tr|A0Q7V1|A0Q7V1_FRATN	rlm	naive	0.108418116799283
-0.348850322562511	0.0863104299501666	5.99746495759339	-4.04180957925859	0.0067947651968034	0.108418116799283	sp|A0Q4I9|RS3_FRATN	rlm	naive	0.108418116799283
-0.438545560338828	0.108686344748529	6.00043011697071	-4.03496466233641	0.00684063342036525	0.108418116799283	sp|A0Q736|TTCA2_FRATN	rlm	naive	0.108418116799283
0.45968473957529	0.114484102493881	6.00043011697071	4.01527137446756	0.0069953015797966	0.108418116799283	sp|A0Q7Q2|CS12A_FRATN	rlm	naive	0.108418116799283
-0.676419519869235	0.168249813735071	5.98346413792475	-4.0203284916222	0.00699599895540302	0.108418116799283	tr|A0Q6R3|A0Q6R3_FRATN	rlm	naive	0.108418116799283
0.376708221176037	0.0938695821022083	6.00043011697071	4.0131021438432	0.00701257606531535	0.108418116799283	tr|A0Q8B2|A0Q8B2_FRATN	rlm	naive	0.108418116799283
-0.570702248133543	0.143463191488288	6.00043011697071	-3.97803953901396	0.00729851096764925	0.111373381649193	tr|A0Q4Y1|A0Q4Y1_FRATN	rlm	naive	0.111373381649193
-0.380707511526993	0.0962301701807954	6.00043011697071	-3.95621779335656	0.00748303100334968	0.112125067845296	tr|A0Q524|A0Q524_FRATN	rlm	naive	0.112125067845296
-1.48947542123611	0.374603919300876	5.89307729966384	-3.97613410990445	0.00758709108659451	0.112125067845296	tr|A0Q663|A0Q663_FRATN	rlm	naive	0.112125067845296
0.674271183337581	0.166467411225705	5.62580842686663	4.05046956862546	0.00768960959822256	0.112125067845296	sp|A0Q8G5|NUOH_FRATN	rlm	naive	0.112125067845296
-0.485453605985778	0.121053784772936	5.69794561543949	-4.0102307160107	0.00782435331322585	0.112125067845296	sp|A0Q6T0|TIG_FRATN	rlm	naive	0.112125067845296
0.341273710473789	0.0859499471860983	5.81972338721151	3.97060989153217	0.00783033112126044	0.112125067845296	tr|A0Q8D5|A0Q8D5_FRATN	rlm	naive	0.112125067845296
0.533786513805446	0.136934433141128	6.00043011697071	3.89811752647569	0.00800021788827884	0.112125067845296	sp|A0Q5L1|KATG_FRATN	rlm	naive	0.112125067845296
-0.404655010796256	0.102986734366968	5.85913176169136	-3.92919547632578	0.00809325754472958	0.112125067845296	tr|A0Q4Z2|A0Q4Z2_FRATN	rlm	naive	0.112125067845296
-0.37323421257438	0.09646772643706	6.00043011697071	-3.86900600189738	0.00827425820031794	0.112125067845296	sp|A0Q4H1|RS2_FRATN	rlm	naive	0.112125067845296
-1.59337077196863	0.369054090367275	4.80719605762455	-4.31744509424878	0.00829442949008086	0.112125067845296	tr|A0Q6W7|A0Q6W7_FRATN	rlm	naive	0.112125067845296
-0.415022441933422	0.105825176169588	5.80884156942673	-3.92177416523583	0.00830202630003468	0.112125067845296	sp|A0Q4K5|RS13_FRATN	rlm	naive	0.112125067845296
-0.652535420784159	0.157906078472479	5.14593464711043	-4.13242749801988	0.00852484994804772	0.11382612146541	tr|A0Q6D7|A0Q6D7_FRATN	rlm	naive	0.11382612146541
-0.571326595629405	0.148784942679545	5.87697408378824	-3.83994902535223	0.00890558026209417	0.116576811767245	tr|A0Q5A9|A0Q5A9_FRATN	rlm	naive	0.116576811767245
